City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Huron,41.1501,-82.5499,40.68,87,100,16.17,US,2023-01-18 03:00:33
1,Dikson,73.5069,80.5464,-12.05,74,100,11.12,RU,2023-01-18 03:00:33
2,Norman Wells,65.282,-126.8329,-11.16,77,20,3.44,CA,2023-01-18 02:58:00
3,Hobart,-42.8794,147.3294,73.06,56,40,14.97,AU,2023-01-18 03:00:34
4,Rikitea,-23.1203,-134.9692,79.12,69,98,5.75,PF,2023-01-18 03:00:35
5,Saskylakh,71.9167,114.0833,-26.46,100,99,7.16,RU,2023-01-18 02:56:45
6,Chalus,36.655,51.4204,46.8,75,24,0.27,IR,2023-01-18 03:00:35
7,Mataura,-46.1927,168.8643,79.29,36,2,2.24,NZ,2023-01-18 03:00:36
8,Kodiak,57.79,-152.4072,31.59,80,99,8.88,US,2023-01-18 03:00:36
9,Taoudenni,22.6783,-3.9836,65.68,20,100,4.14,ML,2023-01-18 02:56:37
10,Evensk,61.95,159.2333,-0.53,73,100,12.57,RU,2023-01-18 03:00:37
11,Vrangel,42.7297,133.0839,16.57,40,0,8.16,RU,2023-01-18 03:00:38
12,Samarai,-10.6167,150.6667,85.71,70,95,10.96,PG,2023-01-18 03:00:38
13,Camapua,-19.5314,-54.0439,70.56,90,100,2.91,BR,2023-01-18 03:00:39
14,Makat,47.6469,53.3463,22.33,64,2,11.81,KZ,2023-01-18 03:00:39
15,Albany,42.6001,-73.9662,33.53,88,100,2.24,US,2023-01-18 02:58:45
16,Leningradskiy,69.3833,178.4167,-26.93,96,93,8.79,RU,2023-01-18 03:00:40
17,Ushuaia,-54.8,-68.3,50.14,89,100,7.02,AR,2023-01-18 03:00:41
18,Bluff,-46.6,168.3333,60.39,72,0,13.02,NZ,2023-01-18 03:00:41
19,Wanaka,-44.7,169.15,78.12,46,26,5.99,NZ,2023-01-18 03:00:36
20,Port Alfred,-33.5906,26.891,74.17,96,100,6.67,ZA,2023-01-18 03:00:42
21,Dwarka,22.2394,68.9678,65.84,48,6,12.33,IN,2023-01-18 02:58:08
22,Faanui,-16.4833,-151.75,81.05,72,37,11.39,PF,2023-01-18 03:00:44
23,Saint-Joseph,-21.3667,55.6167,78.48,80,98,14.7,RE,2023-01-18 03:00:44
24,Cabo San Lucas,22.8909,-109.9124,66.18,79,91,8.81,MX,2023-01-18 03:00:03
25,Luderitz,-26.6481,15.1594,65.35,87,87,3.78,NA,2023-01-18 02:58:03
26,Cape Town,-33.9258,18.4232,74.37,71,0,12.66,ZA,2023-01-18 03:00:00
27,Lasa,46.6166,10.7002,30.02,92,74,1.3,IT,2023-01-18 03:00:46
28,Port Blair,11.6667,92.75,77.04,73,96,2.3,IN,2023-01-18 03:00:37
29,Avarua,-21.2078,-159.775,80.65,69,75,4.61,CK,2023-01-18 02:57:10
30,Saint Marys,30.7305,-81.5465,65.05,56,10,3.0,US,2023-01-18 03:00:13
31,Punta Arenas,-53.15,-70.9167,59.11,58,75,21.85,CL,2023-01-18 02:57:22
32,Nikolskoye,59.7035,30.7861,33.69,97,100,10.69,RU,2023-01-18 03:00:49
33,Constitucion,-35.3333,-72.4167,54.1,89,1,7.09,CL,2023-01-18 03:00:50
34,Upernavik,72.7868,-56.1549,-11.79,95,100,5.97,GL,2023-01-18 03:00:50
35,Mar Del Plata,-38.0023,-57.5575,71.94,94,76,5.99,AR,2023-01-18 03:00:51
36,Enshi,30.3,109.4833,42.15,74,40,0.92,CN,2023-01-18 03:00:51
37,Belaya Gora,68.5333,146.4167,-36.02,100,100,1.9,RU,2023-01-18 03:00:41
38,Haines Junction,60.7522,-137.5108,15.17,97,100,0.89,CA,2023-01-18 03:00:52
39,Severo-Kurilsk,50.6789,156.125,16.25,62,100,22.79,RU,2023-01-18 03:00:53
40,Hilo,19.7297,-155.09,75.94,93,44,1.99,US,2023-01-18 03:00:53
41,New Norfolk,-42.7826,147.0587,72.72,43,45,7.0,AU,2023-01-18 03:00:54
42,Busselton,-33.65,115.3333,73.4,36,59,8.14,AU,2023-01-18 03:00:54
43,Georgetown,5.4112,100.3354,84.13,73,20,6.91,MY,2023-01-18 02:58:19
